seq,time,x,y
182,14.979998502,4.741221904754639,9.862571716308594
183,14.989998501,4.765958309173584,9.858940124511719
184,15.019998498,4.840214252471924,9.848369598388672
185,15.129998487,5.113059997558594,9.813933372497559
186,15.19999848,5.287146091461182,9.795941352844238
187,15.269998473,5.461591720581055,9.781766891479492
188,15.329998467,5.611351490020752,9.77302074432373
189,15.339998466,5.636321544647217,9.77180004119873
190,15.349998465,5.661293983459473,9.770606994628906
191,15.379998462,5.736217498779297,9.767204284667969
192,15.389998461,5.761194705963135,9.766133308410645
193,15.449998455,5.911088466644287,9.76041316986084
194,15.479998452,5.986052989959717,9.75804328918457
195,15.49999845,6.036035537719727,9.756661415100098
196,15.609998439,6.310999393463135,9.751953125
197,15.729998427,6.611003875732422,9.752645492553711
198,15.779998422,6.73599100112915,9.75461196899414
199,15.879998411999999,6.985979080200195,9.757184982299805
200,15.929998407,7.110980033874512,9.757514953613281
201,16.019998398,7.335980415344238,9.756510734558105
202,16.079998392,7.485978126525879,9.754173278808594
203,16.179998382,7.735754489898682,9.742953300476074
204,16.189998381,7.760704517364502,9.741308212280273
205,16.259998374,7.935141086578369,9.726875305175781
206,16.319998368,8.084217071533203,9.709747314453125
207,16.409998359,8.306396484375,9.673791885375977
208,16.429998357,8.355486869812012,9.664194107055664
209,16.439998356,8.379988670349121,9.65918254852295
210,16.449998355,8.404461860656738,9.654043197631836
211,16.519998348,8.574943542480469,9.614294052124023
212,16.619998338,8.815190315246582,9.544827461242676
213,16.739998326,9.096373558044434,9.44003677368164
214,16.849998315,9.346564292907715,9.32573413848877
215,16.879998312,9.413485527038574,9.2918119430542
216,16.889998311,9.4356689453125,9.28026008605957
217,16.89999831,9.457779884338379,9.268569946289062
218,16.929998306999998,9.523685455322266,9.232711791992188
219,16.939998306,9.545516014099121,9.220508575439453
220,16.949998305,9.567275047302246,9.208181381225586
221,16.9999983,9.675049781799316,9.144781112670898
222,17.039998296,9.760001182556152,9.09195613861084
223,17.049998295,9.781052589416504,9.078454971313477
224,17.329998267,10.33713150024414,8.65400505065918
225,17.459998254,10.57459545135498,8.432082176208496
226,17.59999824,10.820171356201172,8.182685852050781
227,17.649998234999998,10.906079292297363,8.091879844665527
228,17.69999823,10.991462707519531,8.000585556030273
229,17.739998226,11.059679985046387,7.92746639251709
230,17.749998225,11.076733589172363,7.909185886383057
231,17.779998222,11.127911567687988,7.854360580444336
232,17.789998221,11.144998550415039,7.836111545562744
233,17.79999822,11.162104606628418,7.817878723144531
234,17.849998215,11.247919082641602,7.726987838745117
235,17.879998212,11.299650192260742,7.672683238983154
236,17.889998210999998,11.316927909851074,7.654613494873047
237,17.89999821,11.334220886230469,7.636558532714844
238,17.929998207,11.38620376586914,7.582494735717773
239,17.939998206,11.403570175170898,7.564510345458984
240,17.949998205,11.420955657958984,7.546544075012207
241,18.079998192,11.648740768432617,7.314725399017334
242,18.189998181,11.844091415405273,7.121168613433838
243,18.289998171,12.023576736450195,6.947137832641602
244,18.369998162999998,12.168500900268555,6.809304714202881
245,18.449998155,12.31407356262207,6.672154903411865
246,18.559998144,12.512468338012695,6.481719493865967
247,18.649998135,12.673211097717285,6.324277877807617
248,18.689998131,12.744009971618652,6.253643035888672
249,18.719998128,12.796500205993652,6.2000579833984375
250,18.729998127,12.813879013061523,6.1820831298828125
251,18.739998126,12.831202507019043,6.164054870605469
252,18.749998125,12.848472595214844,6.145973205566406
253,18.839998116,13.001038551330566,5.980562210083008
254,18.889998111,13.083125114440918,5.886248588562012
255,18.909998109,13.115299224853516,5.847956657409668
256,18.939998106,13.162858963012695,5.789941310882568
257,18.949998105,13.178532600402832,5.770456314086914
258,19.019998098,13.285338401794434,5.631758689880371
259,19.129998087,13.440021514892578,5.404262065887451
260,19.259998074,13.597296714782715,5.11974573135376
261,19.339998066,13.679744720458984,4.937403678894043
262,19.349998065,13.68922233581543,4.914247989654541
263,19.389998061,13.725197792053223,4.820859909057617
264,19.39999806,13.73370361328125,4.797329425811768
265,19.439998056,13.765731811523438,4.702507972717285
266,19.479998052,13.79446792602539,4.60664701461792
267,19.49999805,13.807673454284668,4.558383464813232
268,19.629998037,13.874740600585938,4.240285873413086
269,19.709998029,13.900120735168457,4.041797637939453
270,19.79999802,13.914281845092773,3.817139148712158
271,19.859998014,13.915548324584961,3.667072057723999
272,19.909998009,13.91196346282959,3.5420689582824707
273,19.999998,13.896293640136719,3.3175582885742188
274,20.039997996,13.885920524597168,3.2180709838867188
275,20.049997995,13.883028984069824,3.1932320594787598
276,20.089997991,13.870306968688965,3.094021797180176
277,20.179997982,13.835589408874512,2.8716843128204346
278,20.29999797,13.777079582214355,2.577420234680176
279,20.339997966,13.754725456237793,2.4799392223358154
280,20.379997962,13.731241226196289,2.3827288150787354
281,20.389997961,13.725225448608398,2.358461856842041
282,20.39999796,13.719156265258789,2.3342089653015137
283,20.429997957,13.700712203979492,2.261509895324707
284,20.439997956,13.694485664367676,2.2372970581054688
285,20.449997955,13.68821907043457,2.213094472885132
286,20.459997954,13.681913375854492,2.1889023780822754
287,20.469997953,13.675580978393555,2.164717197418213
288,20.479997952,13.66922378540039,2.1405386924743652
289,20.489997951,13.662839889526367,2.1163671016693115
290,20.49999795,13.656439781188965,2.09220027923584
291,20.539997946,13.630659103393555,1.9955801963806152
